Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,days_count
1,0,1,3.0,5.0,4.7,0.43,4646
0,0,1,3.0,5.0,5.4,0.46,4452
1,0,0,4.0,7.0,9.1,0.85,4721
0,0,1,1.0,3.0,5.0,0.35,4749
0,1,0,1.0,1.0,0.0,0.0,4679
0,1,1,2.0,4.0,4.3,0.34,4665
1,1,0,2.0,5.0,5.7,0.55,4467
0,0,1,4.0,6.0,6.8,0.62,4432
0,0,0,3.0,6.0,7.6,0.72,4522
0,1,1,3.0,8.0,8.3,0.71,4417
1,1,0,1.0,3.0,5.5,0.39,4531
1,0,0,1.0,3.0,5.3,0.48,4572
1,0,0,3.0,7.0,8.0,0.7,4625
0,0,1,4.0,6.0,6.4,0.56,4400
1,0,1,1.0,3.0,3.6,0.27,4500
1,1,1,2.0,5.0,7.0,0.66,4566
1,1,0,3.0,7.0,7.6,0.56,4450
0,0,0,2.0,5.0,8.7,0.79,4625
1,1,1,0.0,1.0,2.6,0.18,4702
1,0,1,2.0,4.0,4.7,0.33,4653
0,0,1,2.0,4.0,6.4,0.4,4710
1,0,0,2.0,5.0,5.8,0.39,4690
1,0,0,1.0,1.0,3.3,0.23,4529
1,1,1,2.0,4.0,5.9,0.45,4748
0,1,1,1.0,3.0,7.0,0.52,4433
1,0,0,4.0,7.0,7.2,0.6,4506
0,0,1,3.0,7.0,7.9,0.59,4474
1,0,1,1.0,3.0,5.9,0.36,4492
0,0,0,1.0,3.0,4.4,0.29,4689
0,0,1,2.0,5.0,5.2,0.34,4700
1,1,1,2.0,4.0,5.3,0.34,4666
1,1,1,3.0,4.0,5.2,0.46,4491
0,0,1,2.0,5.0,4.5,0.36,4697
1,1,0,2.0,3.0,6.6,0.45,4408
1,1,1,3.0,5.0,3.8,0.27,4733
0,1,0,3.0,7.0,7.6,0.65,4726
1,1,1,3.0,6.0,5.6,0.34,4615
1,0,1,1.0,3.0,5.4,0.37,4529
0,1,1,1.0,2.0,4.9,0.25,4572
0,0,0,2.0,5.0,7.3,0.57,4624
0,0,0,2.0,5.0,5.6,0.52,4628
1,1,0,4.0,8.0,7.8,0.75,4462
1,1,1,4.0,7.0,6.7,0.55,4561
1,0,0,1.0,4.0,6.5,0.43,4681
1,0,1,0.0,1.0,1.8,0.1,4524
1,1,0,3.0,6.0,8.1,0.68,4514
0,0,1,3.0,7.0,6.4,0.56,4635
0,0,1,3.0,8.0,7.2,0.73,4726
1,0,0,2.0,5.0,8.6,0.7,4503
0,1,0,4.0,8.0,9.5,0.88,4398
0,1,1,2.0,6.0,6.8,0.63,4526
1,0,0,2.0,5.0,6.5,0.62,4684
1,0,1,2.0,3.0,3.5,0.25,4494
0,0,0,2.0,3.0,4.8,0.4,4637
0,1,0,3.0,8.0,7.6,0.77,4716
0,1,1,3.0,6.0,6.2,0.58,4704
1,1,1,3.0,6.0,3.6,0.3,4497
0,1,0,3.0,6.0,8.0,0.61,4645
1,0,1,3.0,5.0,6.0,0.4,4454
1,0,1,1.0,3.0,3.8,0.33,4687
1,1,1,1.0,2.0,2.4,0.06,4658
0,0,1,1.0,4.0,4.3,0.36,4531
1,0,1,1.0,2.0,3.7,0.28,4490
0,1,1,2.0,5.0,5.6,0.37,4691
1,0,1,0.0,1.0,1.0,0.03,4608
1,1,1,2.0,5.0,7.2,0.67,4501
0,0,1,1.0,3.0,6.7,0.46,4669
1,0,1,3.0,8.0,7.5,0.72,4388
1,0,0,4.0,7.0,7.5,0.65,4665
1,1,0,0.0,1.0,4.0,0.24,4697
1,0,1,1.0,3.0,5.3,0.41,4417
1,1,0,2.0,5.0,7.5,0.68,4475
0,1,0,4.0,7.0,7.7,0.72,4722
0,0,1,0.0,2.0,4.4,0.33,4664
0,0,1,3.0,5.0,6.5,0.48,4465
0,1,1,2.0,4.0,5.5,0.48,4713
0,0,0,2.0,5.0,5.0,0.36,4422
0,1,0,4.0,10.0,9.2,0.91,4440
1,1,1,1.0,2.0,4.1,0.24,4394
1,0,0,3.0,6.0,5.5,0.45,4423
0,0,0,5.0,9.0,8.8,0.85,4579
1,0,0,2.0,4.0,5.5,0.34,4611
0,1,1,1.0,3.0,5.9,0.36,4418
1,0,1,2.0,4.0,4.5,0.34,4528
0,1,0,3.0,6.0,8.0,0.59,4632
1,0,1,2.0,4.0,5.8,0.44,4548
0,0,0,1.0,3.0,4.4,0.38,4428
0,1,0,3.0,6.0,7.5,0.59,4388
1,0,0,2.0,7.0,8.0,0.7,4580
0,1,0,2.0,3.0,6.1,0.42,4508
0,1,1,1.0,2.0,5.1,0.46,4605
1,0,1,3.0,5.0,4.7,0.39,4707
1,0,1,3.0,5.0,5.2,0.42,4688
0,1,1,0.0,1.0,0.0,0.0,4472
1,0,1,2.0,5.0,5.1,0.46,4457
0,1,1,1.0,2.0,4.4,0.3,4523
1,1,0,4.0,6.0,6.9,0.63,4449
1,0,0,2.0,5.0,5.3,0.45,4555
1,0,1,3.0,6.0,6.0,0.58,4507
0,1,0,4.0,7.0,8.6,0.67,4746
0,0,0,2.0,5.0,7.3,0.71,4672
1,0,1,1.0,3.0,5.5,0.48,4647
0,0,1,1.0,3.0,2.9,0.22,4610
1,1,0,3.0,6.0,5.1,0.43,4589
0,0,0,2.0,5.0,6.4,0.57,4705
1,0,1,3.0,4.0,6.1,0.47,4449
1,0,1,3.0,5.0,5.3,0.47,4589
1,1,1,1.0,4.0,5.5,0.34,4465
1,0,1,1.0,3.0,5.5,0.37,4468
1,0,0,3.0,7.0,7.8,0.8,4482
0,1,0,4.0,8.0,8.9,0.8,4599
1,0,1,1.0,4.0,6.9,0.49,4547
0,0,1,0.0,1.0,0.0,0.0,4530
0,0,1,4.0,9.0,9.3,0.86,4473
1,0,1,1.0,2.0,4.6,0.33,4678
1,0,1,3.0,6.0,5.7,0.5,4586
1,0,1,2.0,4.0,4.5,0.34,4455
0,1,1,0.0,2.0,4.7,0.23,4699
0,1,0,4.0,8.0,9.9,0.92,4717
1,0,1,3.0,6.0,6.3,0.44,4612
1,0,1,1.0,3.0,3.6,0.15,4488
1,0,1,0.0,2.0,4.3,0.32,4684
1,0,1,3.0,4.0,6.5,0.43,4538
0,0,0,4.0,9.0,8.7,0.78,4734
0,0,1,0.0,1.0,3.1,0.23,4688
0,0,1,2.0,4.0,3.6,0.21,4557
0,0,1,1.0,2.0,3.6,0.23,4524
1,1,1,3.0,5.0,5.7,0.4,4443
1,0,1,2.0,5.0,5.7,0.38,4423
1,0,0,0.0,1.0,0.5,0.0,4645
1,1,0,2.0,4.0,3.9,0.33,4412
1,1,0,2.0,5.0,7.0,0.62,4410
0,0,1,3.0,4.0,5.4,0.36,4585
1,0,1,2.0,3.0,3.7,0.28,4596
1,0,1,2.0,4.0,6.1,0.41,4499
0,0,1,0.0,1.0,2.8,0.1,4716
1,0,0,2.0,4.0,6.9,0.63,4446
0,0,1,3.0,7.0,7.3,0.67,4724
0,0,0,3.0,7.0,7.2,0.62,4647
0,0,1,2.0,7.0,9.0,0.77,4657
1,0,0,0.0,1.0,0.0,0.0,4564
0,1,1,2.0,6.0,5.6,0.51,4398
1,0,1,2.0,4.0,6.8,0.61,4389
1,0,1,1.0,3.0,5.1,0.41,4710
1,0,1,3.0,5.0,6.0,0.53,4562
1,0,1,1.0,3.0,6.8,0.5,4401
0,1,1,2.0,5.0,6.5,0.55,4430
0,0,1,4.0,6.0,5.7,0.49,4557
0,1,1,3.0,5.0,6.1,0.44,4459
0,0,1,3.0,7.0,8.8,0.7,4745
1,0,1,1.0,2.0,6.8,0.48,4457
0,0,0,2.0,5.0,6.8,0.6,4733
0,1,1,2.0,4.0,5.5,0.48,4495
1,0,1,2.0,3.0,4.5,0.21,4450
1,1,0,2.0,2.0,2.6,0.15,4548
0,0,0,5.0,10.0,10.0,0.98,4464
1,0,1,1.0,2.0,4.3,0.25,4439
0,1,0,3.0,8.0,8.8,0.7,4705
1,0,0,4.0,7.0,7.2,0.69,4559
0,0,1,1.0,3.0,4.4,0.33,4506
1,0,0,2.0,4.0,5.5,0.44,4413
1,1,0,2.0,5.0,7.8,0.57,4391
0,1,1,1.0,3.0,4.5,0.27,4623
0,0,0,4.0,6.0,6.7,0.67,4527
1,0,0,1.0,1.0,3.4,0.25,4726
1,0,0,0.0,1.0,3.6,0.18,4515
1,1,0,3.0,7.0,7.9,0.6,4718
1,0,1,2.0,5.0,5.3,0.39,4478
1,0,1,1.0,3.0,5.3,0.34,4487
1,1,0,3.0,6.0,5.5,0.52,4437
1,1,0,1.0,3.0,5.4,0.42,4633
0,1,1,1.0,1.0,4.8,0.28,4392
1,1,1,2.0,4.0,6.2,0.38,4743
0,1,0,4.0,6.0,6.9,0.59,4613
1,1,1,2.0,5.0,8.0,0.62,4729
0,1,0,3.0,7.0,8.7,0.76,4494
1,0,0,1.0,3.0,4.2,0.33,4530
0,0,0,2.0,2.0,4.2,0.28,4409
1,0,0,3.0,6.0,7.2,0.62,4727
1,0,1,2.0,4.0,5.2,0.45,4470
0,0,1,2.0,2.0,3.3,0.24,4494
0,0,0,2.0,5.0,6.3,0.53,4481
0,0,1,2.0,4.0,6.8,0.59,4628
0,1,1,3.0,5.0,3.8,0.29,4717
1,1,1,1.0,2.0,2.7,0.19,4619
1,0,0,4.0,7.0,8.1,0.65,4700
1,1,1,1.0,1.0,1.3,0.02,4408
1,0,1,2.0,4.0,7.0,0.47,4462
1,0,0,2.0,5.0,6.6,0.43,4452
1,0,0,2.0,5.0,7.9,0.61,4486
1,1,0,0.0,2.0,4.7,0.33,4533
1,0,0,2.0,4.0,7.9,0.6,4628
1,1,0,2.0,6.0,6.4,0.52,4689
0,0,1,5.0,9.0,9.3,0.93,4631
0,1,0,2.0,4.0,6.3,0.47,4397
0,0,0,3.0,7.0,6.9,0.51,4690
1,0,1,1.0,1.0,4.9,0.26,4713
1,1,1,3.0,4.0,5.2,0.42,4648
1,0,0,2.0,5.0,6.2,0.58,4427
1,0,1,1.0,2.0,5.3,0.3,4428
0,1,1,3.0,6.0,6.2,0.56,4527
0,1,0,2.0,5.0,6.1,0.57,4649
1,0,1,2.0,3.0,5.5,0.3,4429
0,0,0,4.0,8.0,9.5,0.86,4640
0,1,0,2.0,6.0,6.3,0.62,4528
0,0,1,3.0,5.0,5.2,0.41,4696
0,0,1,1.0,4.0,5.1,0.38,4578
1,0,1,2.0,5.0,5.9,0.41,4706
1,0,0,2.0,5.0,5.8,0.46,4548
1,0,0,2.0,4.0,5.9,0.44,4608
1,1,0,1.0,1.0,3.2,0.24,4524
1,0,1,2.0,4.0,6.1,0.39,4697
1,0,0,2.0,4.0,7.5,0.53,4707
1,0,0,2.0,2.0,3.9,0.21,4697
0,0,0,4.0,8.0,8.4,0.77,4465
1,1,1,1.0,2.0,6.0,0.37,4395
0,0,1,1.0,3.0,4.9,0.38,4678
0,1,1,3.0,4.0,6.3,0.47,4593
0,0,0,4.0,8.0,8.0,0.69,4508
0,0,0,2.0,7.0,7.1,0.72,4431
0,0,0,4.0,8.0,7.3,0.73,4574
1,1,0,4.0,8.0,8.2,0.72,4620
1,1,0,2.0,6.0,7.1,0.58,4505
1,0,1,2.0,5.0,4.5,0.38,4686
1,0,1,1.0,4.0,5.0,0.36,4669
0,0,0,2.0,5.0,4.2,0.32,4444
0,1,1,1.0,3.0,4.8,0.35,4694
1,0,1,4.0,8.0,9.4,0.83,4484
0,0,1,4.0,7.0,7.9,0.73,4478
0,1,1,0.0,2.0,2.1,0.15,4698
0,0,1,2.0,5.0,4.2,0.3,4452
0,0,0,1.0,3.0,6.6,0.47,4660
1,1,0,4.0,6.0,7.1,0.68,4583
0,1,0,5.0,10.0,9.7,0.87,4529
1,1,1,1.0,2.0,5.5,0.4,4606
1,0,0,1.0,3.0,5.2,0.43,4609
0,1,0,4.0,7.0,8.4,0.64,4739
0,1,0,2.0,3.0,3.4,0.26,4533
0,0,0,2.0,4.0,7.2,0.59,4702
0,0,0,2.0,6.0,7.0,0.52,4495
1,0,0,2.0,5.0,7.3,0.56,4482
0,0,0,3.0,6.0,6.5,0.56,4594
0,0,0,1.0,4.0,5.8,0.53,4401
0,0,0,2.0,4.0,6.2,0.4,4736
1,0,0,2.0,4.0,4.2,0.31,4650
0,0,0,1.0,5.0,6.6,0.54,4697
0,1,0,2.0,6.0,7.5,0.55,4719
0,0,1,1.0,2.0,3.8,0.22,4564
1,1,1,3.0,5.0,5.0,0.4,4732
0,0,1,3.0,6.0,7.9,0.64,4506
0,0,1,3.0,5.0,6.5,0.48,4423
1,0,1,1.0,3.0,5.2,0.39,4471
1,0,1,3.0,5.0,5.6,0.4,4565
1,1,1,2.0,4.0,6.2,0.49,4657
1,0,0,2.0,2.0,3.9,0.29,4586
0,0,1,2.0,5.0,6.1,0.41,4597
0,0,1,2.0,5.0,5.5,0.37,4435
0,1,0,3.0,6.0,8.6,0.68,4513
1,0,1,2.0,5.0,7.1,0.58,4632
1,0,0,2.0,6.0,6.9,0.55,4614
1,1,1,2.0,3.0,6.9,0.5,4533
0,1,1,2.0,3.0,6.3,0.44,4387
0,0,1,2.0,3.0,5.7,0.37,4581
0,0,0,3.0,7.0,6.3,0.62,4722
0,1,0,2.0,4.0,6.7,0.57,4618
0,0,1,3.0,5.0,4.9,0.37,4474
0,0,1,1.0,4.0,5.4,0.35,4710
0,0,0,4.0,6.0,7.0,0.55,4395
1,0,1,2.0,4.0,6.5,0.61,4584
0,1,1,2.0,3.0,4.0,0.2,4680
1,1,1,0.0,1.0,4.0,0.2,4634
1,0,1,1.0,3.0,3.7,0.17,4487
0,0,0,2.0,4.0,5.2,0.47,4402
0,0,0,0.0,1.0,2.8,0.12,4498
1,1,0,3.0,6.0,8.2,0.65,4642
1,0,1,3.0,4.0,5.5,0.42,4467
1,0,0,1.0,1.0,3.6,0.28,4555
0,1,1,2.0,5.0,6.9,0.67,4562
1,1,0,5.0,9.0,9.4,0.88,4580
0,0,1,1.0,3.0,3.6,0.29,4740
0,0,0,2.0,5.0,6.8,0.6,4423
0,0,1,0.0,1.0,3.8,0.17,4609
1,1,1,1.0,2.0,1.6,0.08,4707
0,0,0,2.0,4.0,5.4,0.48,4415
1,0,0,2.0,4.0,7.3,0.51,4393
1,0,1,0.0,2.0,4.0,0.3,4682
1,0,0,2.0,4.0,7.0,0.54,4713
1,0,0,4.0,8.0,7.8,0.74,4728
0,0,1,1.0,3.0,3.4,0.29,4510
0,1,0,3.0,6.0,7.4,0.52,4541
1,1,0,3.0,6.0,6.6,0.46,4571
1,0,0,1.0,3.0,4.7,0.37,4671
0,0,1,1.0,4.0,4.7,0.36,4648
0,1,0,2.0,5.0,4.9,0.39,4741
0,0,0,2.0,6.0,8.7,0.7,4428
1,1,0,2.0,4.0,5.6,0.38,4438
0,0,1,5.0,9.0,9.4,0.88,4519
0,0,1,1.0,2.0,3.6,0.22,4540
1,0,0,3.0,6.0,7.2,0.63,4499
0,1,0,2.0,5.0,7.2,0.66,4516
1,0,1,2.0,5.0,6.5,0.49,4470
0,0,0,1.0,2.0,5.2,0.44,4415
1,0,1,2.0,4.0,5.5,0.45,4719
1,1,1,0.0,1.0,4.1,0.2,4505
0,0,0,5.0,10.0,9.2,0.75,4595
1,1,1,1.0,1.0,2.6,0.09,4485
1,0,0,1.0,2.0,5.5,0.39,4718
0,0,1,2.0,4.0,2.5,0.14,4631
1,0,1,3.0,7.0,5.8,0.55,4503
1,0,1,1.0,1.0,3.2,0.2,4722
0,1,0,3.0,7.0,8.3,0.66,4582
0,0,0,1.0,3.0,4.6,0.38,4524
1,0,0,2.0,4.0,6.8,0.46,4739
0,0,1,1.0,3.0,4.9,0.43,4738
0,0,0,3.0,6.0,6.4,0.51,4621
1,0,0,2.0,4.0,6.9,0.5,4742
1,0,0,2.0,5.0,6.0,0.55,4587
1,0,1,3.0,5.0,6.5,0.5,4602
1,1,1,1.0,2.0,5.7,0.48,4432
0,0,0,2.0,5.0,7.6,0.6,4710
0,0,0,3.0,5.0,6.0,0.53,4418
1,1,1,1.0,3.0,5.6,0.34,4397
1,1,1,3.0,5.0,5.7,0.39,4437
1,0,0,3.0,4.0,6.3,0.43,4429
0,0,1,3.0,7.0,6.7,0.63,4475
0,0,1,3.0,6.0,4.7,0.43,4605
1,1,1,2.0,4.0,3.9,0.32,4552
0,0,1,1.0,4.0,3.8,0.33,4542
1,1,1,0.0,1.0,3.9,0.21,4533
0,0,0,4.0,8.0,6.7,0.65,4572
1,1,1,2.0,2.0,3.5,0.27,4676
1,0,0,3.0,8.0,7.9,0.76,4544
1,0,1,1.0,1.0,2.0,0.04,4544
1,1,0,0.0,1.0,1.7,0.13,4394
1,1,1,1.0,4.0,6.7,0.5,4751
1,0,1,1.0,3.0,3.2,0.11,4444
1,1,1,1.0,2.0,4.9,0.42,4613
0,0,0,3.0,6.0,8.8,0.7,4428
0,0,1,3.0,5.0,6.2,0.41,4478
0,1,0,1.0,3.0,4.2,0.25,4512
1,1,1,0.0,2.0,3.3,0.18,4589
1,0,0,1.0,2.0,5.2,0.28,4743
0,0,1,2.0,3.0,6.4,0.44,4740
1,1,0,3.0,6.0,6.6,0.52,4509
1,0,1,1.0,2.0,4.8,0.28,4672
1,1,0,2.0,5.0,6.2,0.53,4651
1,0,1,0.0,2.0,4.7,0.27,4605
1,0,0,0.0,1.0,3.1,0.14,4457
1,1,0,3.0,6.0,6.0,0.53,4401
1,0,1,1.0,2.0,3.3,0.24,4556
1,1,0,3.0,6.0,8.1,0.67,4746
1,1,1,2.0,4.0,6.2,0.38,4480
0,0,1,2.0,6.0,6.9,0.65,4454
1,0,0,1.0,3.0,5.5,0.46,4452
1,0,0,3.0,5.0,4.2,0.31,4707
1,0,0,3.0,7.0,6.1,0.55,4738
1,1,0,0.0,1.0,0.0,0.0,4487
1,1,0,4.0,7.0,6.2,0.51,4498
1,1,1,1.0,3.0,4.7,0.23,4659
1,0,1,2.0,4.0,5.1,0.41,4463
1,0,0,1.0,2.0,4.7,0.27,4570
0,0,1,1.0,3.0,6.1,0.41,4534
1,1,0,2.0,4.0,2.7,0.16,4403
0,0,0,4.0,7.0,6.9,0.66,4522
1,0,1,3.0,6.0,5.9,0.49,4708
1,0,0,1.0,3.0,4.4,0.29,4596
0,0,1,3.0,5.0,6.5,0.47,4394
1,0,1,2.0,4.0,4.6,0.31,4543
1,1,0,2.0,5.0,6.8,0.65,4670
0,1,1,2.0,5.0,6.5,0.51,4689
0,1,1,1.0,2.0,3.6,0.2,4411
1,0,1,1.0,2.0,3.9,0.25,4555
0,0,0,2.0,6.0,6.4,0.57,4468
1,0,1,3.0,5.0,5.2,0.48,4456
0,0,0,2.0,5.0,7.6,0.73,4628
1,0,1,0.0,1.0,3.8,0.22,4537
1,0,0,2.0,5.0,7.7,0.59,4677
0,1,1,1.0,3.0,5.5,0.33,4674
0,0,0,2.0,5.0,7.4,0.55,4526
0,0,0,1.0,4.0,4.8,0.36,4731
0,0,1,1.0,3.0,4.2,0.27,4467
1,1,1,2.0,4.0,5.9,0.41,4509
1,0,0,3.0,6.0,6.0,0.53,4713
1,0,0,4.0,8.0,9.0,0.74,4693
0,1,0,2.0,6.0,6.7,0.54,4603
0,0,1,3.0,6.0,6.1,0.56,4569
0,0,0,1.0,3.0,5.2,0.32,4415
0,0,0,4.0,7.0,6.7,0.51,4712
1,0,1,2.0,4.0,5.6,0.35,4602
0,0,0,1.0,2.0,5.3,0.49,4512
1,0,1,4.0,6.0,7.7,0.67,4397
1,0,0,2.0,4.0,3.5,0.29,4500
0,0,0,2.0,4.0,4.7,0.4,4455
0,0,1,3.0,6.0,5.0,0.35,4699
1,0,1,1.0,2.0,4.7,0.23,4528
0,1,1,1.0,4.0,6.4,0.41,4473
0,0,1,3.0,6.0,7.3,0.59,4639
1,1,1,1.0,4.0,5.1,0.39,4426
1,1,1,1.0,4.0,6.0,0.44,4499
0,0,0,4.0,7.0,7.6,0.68,4628
0,0,0,2.0,4.0,6.0,0.42,4510
0,0,1,3.0,5.0,6.3,0.44,4709
1,0,0,4.0,6.0,7.2,0.64,4499
1,0,0,2.0,3.0,3.4,0.18,4492
0,0,0,2.0,4.0,5.9,0.39,4482
1,1,1,2.0,4.0,4.0,0.32,4714
0,0,0,2.0,6.0,6.1,0.58,4565
0,0,1,4.0,7.0,5.6,0.49,4551
0,0,0,3.0,5.0,6.1,0.6,4475
0,0,0,2.0,6.0,8.1,0.65,4411
1,0,1,3.0,4.0,5.2,0.29,4424
0,0,1,0.0,1.0,3.1,0.17,4549
1,1,0,3.0,6.0,6.1,0.56,4465
1,0,1,3.0,6.0,5.6,0.43,4451
1,0,1,1.0,2.0,4.5,0.29,4597
0,1,1,3.0,6.0,6.6,0.65,4560
1,0,0,4.0,7.0,7.0,0.6,4436
1,0,1,3.0,5.0,5.4,0.34,4430
1,0,1,2.0,4.0,5.5,0.33,4404
1,0,1,3.0,6.0,4.6,0.35,4636
0,0,0,5.0,9.0,7.8,0.79,4443
1,0,1,1.0,4.0,4.8,0.41,4703
0,0,0,4.0,8.0,9.6,0.86,4542
1,0,1,3.0,7.0,8.0,0.8,4450
1,1,1,3.0,5.0,5.1,0.32,4442
1,0,0,3.0,6.0,8.7,0.76,4520
1,0,1,0.0,1.0,2.6,0.15,4595
1,1,0,3.0,5.0,5.7,0.54,4571
0,0,0,4.0,8.0,8.8,0.7,4497
1,0,0,3.0,7.0,7.7,0.57,4564
1,1,0,1.0,3.0,5.5,0.44,4471
1,1,0,3.0,6.0,4.9,0.32,4591
1,1,0,3.0,5.0,4.7,0.38,4518
0,1,0,4.0,7.0,9.2,0.82,4615
0,1,0,3.0,7.0,6.2,0.58,4644
1,0,0,5.0,10.0,9.5,0.94,4610
1,0,0,3.0,6.0,5.3,0.43,4733
1,0,1,1.0,4.0,6.8,0.5,4589
1,1,0,2.0,3.0,6.1,0.41,4633
0,0,1,2.0,3.0,3.3,0.25,4657
0,0,0,2.0,6.0,5.5,0.51,4511
0,0,0,2.0,7.0,8.8,0.8,4486
1,0,0,2.0,4.0,5.7,0.36,4386
1,0,1,3.0,4.0,4.3,0.38,4739
1,1,1,1.0,4.0,6.2,0.41,4632
1,1,0,3.0,5.0,7.1,0.64,4579
1,0,1,2.0,5.0,3.7,0.3,4464
0,1,0,3.0,6.0,5.7,0.44,4499
0,0,0,1.0,1.0,3.6,0.15,4482
1,0,0,4.0,8.0,7.5,0.71,4500
0,0,0,2.0,5.0,6.8,0.54,4746
1,0,1,2.0,3.0,5.7,0.44,4734
1,0,0,1.0,2.0,0.7,0.0,4599
1,0,1,1.0,2.0,2.9,0.15,4684
1,0,1,3.0,7.0,7.5,0.77,4479
0,0,0,2.0,3.0,6.3,0.48,4586
1,0,1,2.0,4.0,5.6,0.43,4686
0,0,1,2.0,4.0,2.8,0.11,4442
0,0,1,2.0,6.0,7.5,0.76,4454
0,0,0,1.0,1.0,5.1,0.29,4428
0,0,1,4.0,7.0,6.4,0.63,4520
1,0,1,3.0,7.0,7.1,0.58,4601
1,1,1,2.0,5.0,5.8,0.48,4411
0,0,1,0.0,1.0,3.4,0.18,4613
0,1,0,3.0,5.0,7.3,0.6,4399
0,1,1,1.0,2.0,4.4,0.24,4479
0,0,0,1.0,3.0,4.8,0.39,4503
0,0,0,2.0,6.0,5.9,0.53,4576
1,0,1,2.0,3.0,4.4,0.34,4548
1,1,1,1.0,4.0,5.4,0.41,4701
1,0,0,2.0,4.0,5.3,0.44,4466
1,0,1,0.0,1.0,2.1,0.12,4648
1,0,1,3.0,5.0,6.7,0.45,4406
0,0,0,2.0,5.0,4.3,0.36,4543
0,0,0,0.0,1.0,0.2,0.0,4420
0,0,1,2.0,3.0,4.0,0.31,4648
1,0,0,3.0,8.0,9.5,0.93,4480
1,0,1,2.0,3.0,2.8,0.15,4683
1,0,1,0.0,1.0,0.2,0.0,4420
1,1,0,3.0,5.0,5.1,0.38,4634
0,0,1,2.0,4.0,3.8,0.31,4455
